Country name,Year,Number of deaths from drought,Number of deaths from earthquakes,Number of deaths from extreme temperatures,Number of deaths from floods,Number of deaths from fog,Number of deaths from glacial lake outbursts,Number of deaths from landslides,Number of deaths from mass movements,Number of deaths from storms,Number of deaths from volcanic activity,Number of deaths from wildfires
Afghanistan,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1920,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1940,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1950,0.0,210.0,0.0,5.1,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1960,0.0,0.0,0.0,10.7,0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,1970,0.0,6.1,0.0,32.1,0,0.0,10.0,0.0,0.0,0.0,0.0
Afghanistan,1980,0.0,51.3,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,0.0
Afghanistan,1990,0.0,742.6,22.4,199.0,0,0.0,73.9,0.0,1.0,0.0,0.0
Afghanistan,2000,3.7,123.6,166.5,116.3,0,0.0,4.3,0.0,33.1,0.0,0.0
Afghanistan,2010,0.0,21.7,4.5,137.0,0,0.0,83.8,0.0,15.1,0.0,0.0
Afghanistan,2020,0.0,267.25,17.5,250.5,0,0.0,15.25,0.0,3.25,0.0,0.0
Africa,1900,1100.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.7,0.0
Africa,1910,8500.0,1.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1920,2400.0,1.2,0.0,300.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1930,0.0,2.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,1940,5000.0,27.6,0.0,0.0,0,0.0,0.0,0.0,16.5,0.0,0.0
Africa,1950,0.0,128.3,0.0,23.7,0,0.0,0.0,0.0,64.2,0.0,0.0
Africa,1960,205.0,1257.7,0.0,134.3,0,0.0,30.8,0.0,15.2,0.0,0.0
Africa,1970,11900.0,0.0,0.0,132.8,0,0.0,0.0,0.0,41.5,21.2,0.2
Africa,1980,55495.4,313.8,0.0,165.0,0,0.0,1.1,7.7,108.0,178.3,0.4
Africa,1990,23.9,79.9,10.2,731.7,0,0.0,17.8,4.7,113.0,0.0,10.6
Africa,2000,88.8,333.5,12.5,794.8,0,0.0,20.2,9.8,127.3,20.6,15.4
Africa,2010,2000.0,3.1,14.5,723.3,0,0.0,242.5,0.0,291.6,0.0,7.1
Africa,2020,616.25,0.0,0.0,1811.25,0,0.0,19.75,0.0,355.75,8.0,42.0
Albania,1900,0.0,12.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1920,0.0,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1930,0.0,15.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1940,0.0,4.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1950,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1960,0.0,2.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1970,0.0,3.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,1980,0.0,0.1,6.8,0.0,0,0.0,5.7,0.0,0.0,0.0,0.0
Albania,1990,0.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2000,0.0,0.0,0.3,0.4,0,0.0,0.0,0.0,0.8,0.0,0.0
Albania,2010,0.0,5.1,1.1,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2020,0.0,0.0,88.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1910,0.0,1.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1920,0.0,0.0,0.0,300.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1930,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1940,0.0,27.6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1950,0.0,125.0,0.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1960,0.0,6.9,0.0,15.3,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1970,0.0,0.0,0.0,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1980,0.0,268.6,0.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1990,0.0,19.3,0.0,10.3,0,0.0,1.5,0.0,0.0,0.0,2.2
Algeria,2000,0.0,227.9,4.0,131.2,0,0.0,0.0,0.0,2.7,0.0,0.8
Algeria,2010,0.0,0.6,0.8,9.7,0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,2020,0.0,0.0,0.0,3.25,0,0.0,0.0,0.0,0.0,0.0,42.0
American Samoa,1900,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
American Samoa,1910,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
