Country name,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Afghanistan,0.0,0.0,0.0,0.0,0.0,430.20000000000005,21.4,96.4,116.6,2077.8,894.9999999999999,524.2,1107.5
Africa,2223.3999999999996,17002.4,5402.4,4.4,10088.2,432.4,3286.0,24191.4,112539.4,1983.6,2845.8,6564.200000000001,5706.0
Albania,24.0,0.0,40.0,30.0,8.6,0.0,5.2,7.0,25.2,3.0,3.0,13.2,176.0
Algeria,0.0,2.4,600.0,0.0,55.2,255.0,44.400000000000006,6.4,569.2,66.6,733.2,22.2,90.5
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,88.4,54.5
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.2,0.0,0.2,0.0
Argentina,0.0,0.0,80.0,0.0,2000.0,72.0,32.6,78.2,28.8,26.0,36.199999999999996,37.20000000000001,9.0
Armenia,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0
Asia,261902.0,39759.6,799937.0,914554.8,724130.7999999999,419833.2,338035.19999999995,147781.2,19963.399999999998,69745.4,132058.60000000003,22783.599999999995,37721.0
Australia,0.0,0.0,0.0,14.2,9.8,14.0,134.8,35.0,43.4,29.400000000000002,119.0,52.4,19.5
Austria,0.0,0.0,0.0,0.0,0.0,47.6,0.0,3.0,13.2,13.2,77.2,5.199999999999999,214.0
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8.4,1.6,0.0
Bahamas,0.0,0.0,0.0,2.8,4.4,0.0,1.0,0.0,0.0,1.0,2.8,78.0,0.0
Bangladesh,34.4,0.0,1.2,0.0,393300.0,140.0,20582.6,67307.4,5242.8,29273.6,1868.8,344.8,248.0
Barbados,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.6,0.0,0.0,0.2,0.2,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,9.8,0.0
Belgium,1.2,0.0,0.0,12.0,0.0,3.0,2.4,0.0,0.4,5.0,425.4,228.2,1081.0
Belize,0.0,0.0,0.0,300.0,0.0,3.2,55.0,1.0,0.0,1.8,11.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,12.2,7.4,7.0,10.2,31.5
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,44.60000000000001,0.2,5.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,15.6,16.2,60.8,62.4,93.0,92.2,74.5
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,7.199999999999999,1.5
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0,0.6,2.4,0.0
Brazil,0.0,0.0,0.0,0.0,60.0,67.4,550.6,279.80000000000007,391.0,153.6,224.19999999999996,336.3999999999999,436.5
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.0,0.0,21.4,0.0,0.0,0.0,2.2,4.0,0.6,0.8,20.2,13.399999999999999,638.5
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.6,13.4,12.2,6.5
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,31.800000000000004,49.4,9.5
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.4,94.80000000000001,105.2,38.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,6.4,14.4,19.8,10.5
Canada,25.4,43.8,14.0,100.0,3.4,18.6,11.799999999999999,11.0,8.4,12.600000000000001,8.4,19.2,425.0
Cape Verde,2200.0,0.0,4800.0,0.0,10000.0,0.0,0.0,0.0,6.4,0.0,0.6,1.8,0.5
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.6,1.0,8.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,610.8,8.2,37.4,19.2,28.5
Chile,4000.0,0.0,244.0,6000.0,31.0,3.0,1418.3999999999999,33.2,107.0,66.6,30.000000000000004,170.99999999999997,18.0
China,2960.2,32582.4,767204.8,876315.4,12105.2,408784.80000000005,737.2,58829.8,4185.400000000001,5553.4,19647.2,2985.9999999999995,710.5
Colombia,80.0,0.0,80.0,3.6,200.0,138.6,59.0,423.0,4742.0,429.19999999999993,266.8,343.40000000000003,148.0
Comoros,3.4,0.0,0.0,0.0,0.0,100.0,0.0,0.2,11.8,0.0,0.6000000000000001,2.4000000000000004,0.0
