Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.0,0.7,0.3,0.1,0.07,0.16,0.03,0.07,2.62,0.03,0.0,0.0,0.5,0.05,0.01,0.23,0.16,0.12,0.55,0.04,0.15,0.04,0.14,0.07,0.24,0.18,0.03,0.09,0.05,0.05
African Region (WHO),0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.02
Albania,0.0,0.0,0.06,0.0,0.01,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.23
Algeria,0.0,0.0,0.01,0.02,0.14,0.0,0.0,0.0,0.0,0.02,0.03,0.59,0.03,1.48,0.01,0.01,0.0,0.05,0.06,0.03,0.0,0.01,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,9.41,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.05,0.0,0.03,0.01,0.07,0.0,0.0,0.0,0.04,0.06,0.01,0.0,0.02
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.41,0.0,6.54,0.44,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0
Argentina,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
