Year,All disasters,Drought,Dry mass movement,Earthquake,Extreme temperature,Extreme weather,Flood,Fog,Glacial lake outburst,Landslide,Volcanic activity,Wildfire
1900,6.0,2.0,,1.0,,1.0,1.0,,,,1.0,
1901,1.0,,,1.0,,,,,,,,
1902,10.0,,,4.0,,1.0,,,,,5.0,
1903,12.0,1.0,1.0,5.0,,2.0,2.0,,,,1.0,
1904,4.0,,,3.0,,1.0,,,,,,
1905,8.0,,1.0,6.0,,1.0,,,,,,
1906,14.0,2.0,,6.0,,3.0,2.0,,,,1.0,
1907,2.0,,,2.0,,,,,,,,
1908,3.0,,1.0,2.0,,,,,,,,
1909,15.0,,,8.0,,5.0,1.0,,,1.0,,
1910,52.0,45.0,,4.0,,1.0,1.0,,,1.0,,
1911,10.0,,,5.0,,2.0,1.0,,,,1.0,1.0
1912,6.0,,,1.0,,5.0,,,,,,
1913,5.0,,,4.0,,1.0,,,,,,
1914,8.0,,,6.0,,1.0,,,,,1.0,
1915,7.0,,,3.0,,2.0,1.0,,,1.0,,
1916,3.0,,,2.0,,1.0,,,,,,
1917,7.0,,,4.0,,2.0,1.0,,,,,
1918,5.0,,,3.0,,1.0,,,,,,1.0
1919,8.0,5.0,,,,2.0,,,,,1.0,
1920,9.0,2.0,,5.0,,1.0,1.0,,,,,
1921,1.0,1.0,,,,,,,,,,
1922,7.0,,,3.0,,2.0,,,,1.0,,1.0
1923,13.0,,,6.0,,6.0,,,,1.0,,
1924,8.0,,,6.0,,2.0,,,,,,
1925,12.0,,,8.0,,3.0,1.0,,,,,
1926,14.0,,,1.0,,7.0,3.0,,,2.0,1.0,
1927,10.0,,,4.0,,4.0,2.0,,,,,
1928,17.0,1.0,,7.0,,7.0,2.0,,,,,
1929,5.0,,,2.0,,2.0,,,,,,1.0
1930,21.0,,,15.0,,4.0,,,,1.0,1.0,
1931,23.0,10.0,,6.0,,4.0,1.0,,,1.0,1.0,
1932,12.0,,,6.0,,5.0,,,,1.0,,
1933,15.0,5.0,,5.0,,3.0,2.0,,,,,
1934,8.0,,,3.0,,4.0,,,,1.0,,
1935,15.0,,,7.0,,7.0,1.0,,,,,
1936,20.0,,,11.0,2.0,5.0,1.0,,,1.0,,
1937,10.0,,1.0,3.0,,3.0,2.0,,,,1.0,
1938,7.0,,,2.0,,2.0,2.0,,,1.0,,
1939,12.0,,,7.0,,2.0,2.0,,,,,1.0
1940,56.0,45.0,,7.0,,3.0,1.0,,,,,
1941,12.0,,,7.0,,4.0,,,,1.0,,
1942,12.0,1.0,,8.0,,3.0,,,,,,
1943,16.0,1.0,,9.0,,3.0,2.0,,,,1.0,
1944,14.0,,,6.0,,5.0,,,,,1.0,2.0
1945,16.0,,,8.0,,7.0,,,,,1.0,
1946,17.0,1.0,,10.0,,5.0,,,,,1.0,
1947,13.0,1.0,,3.0,,7.0,1.0,,,,,1.0
1948,25.0,,,7.0,,10.0,5.0,,,2.0,1.0,
1949,21.0,,,7.0,,8.0,2.0,,,1.0,2.0,1.0
1950,26.0,,,7.0,,7.0,10.0,,,1.0,1.0,
1951,31.0,,,7.0,2.0,11.0,7.0,,,1.0,3.0,
1952,29.0,,,13.0,,9.0,4.0,1.0,,1.0,1.0,
1953,36.0,,,9.0,3.0,11.0,12.0,,,,1.0,
1954,33.0,,,5.0,,10.0,9.0,,,8.0,1.0,
1955,32.0,,1.0,6.0,1.0,19.0,3.0,,,2.0,,
1956,36.0,,,6.0,,14.0,9.0,,,5.0,1.0,1.0
1957,28.0,,,7.0,,9.0,11.0,,,,1.0,
1958,24.0,,,5.0,2.0,13.0,3.0,,,1.0,,
1959,35.0,,,3.0,,16.0,15.0,,,1.0,,
1960,39.0,1.0,,8.0,,20.0,7.0,,,2.0,1.0,
1961,29.0,1.0,,3.0,1.0,14.0,8.0,,,2.0,,
1962,29.0,,1.0,4.0,1.0,13.0,8.0,,,2.0,,
1963,42.0,2.0,1.0,3.0,2.0,21.0,8.0,,,2.0,3.0,
1964,60.0,7.0,,7.0,,22.0,22.0,,,1.0,1.0,
1965,64.0,9.0,,8.0,1.0,19.0,19.0,,,6.0,1.0,1.0
1966,83.0,11.0,,13.0,2.0,27.0,23.0,,,4.0,2.0,1.0
1967,77.0,8.0,,15.0,,25.0,26.0,,,2.0,,1.0
1968,82.0,11.0,,16.0,2.0,25.0,20.0,,,4.0,2.0,2.0
1969,109.0,55.0,,11.0,,25.0,14.0,,,1.0,2.0,1.0
1970,76.0,2.0,,12.0,,24.0,31.0,,,6.0,,1.0
1971,61.0,8.0,,6.0,1.0,22.0,15.0,,,6.0,3.0,
1972,62.0,8.0,,7.0,2.0,26.0,14.0,,,5.0,,
1973,71.0,10.0,,8.0,3.0,22.0,20.0,,,5.0,1.0,2.0
1974,65.0,4.0,,6.0,,28.0,17.0,,,10.0,,
1975,57.0,,,5.0,3.0,25.0,16.0,,,5.0,3.0,
1976,94.0,15.0,,21.0,,30.0,16.0,,,6.0,5.0,1.0
1977,114.0,14.0,,14.0,1.0,29.0,47.0,,,3.0,5.0,1.0
1978,110.0,10.0,,9.0,1.0,38.0,47.0,,,2.0,2.0,1.0
1979,123.0,21.0,,22.0,4.0,30.0,34.0,,,7.0,4.0,1.0
1980,178.0,75.0,1.0,17.0,3.0,36.0,39.0,,,4.0,2.0,1.0
1981,155.0,41.0,,15.0,2.0,47.0,39.0,,,8.0,1.0,2.0
1982,142.0,8.0,1.0,14.0,3.0,51.0,48.0,,,12.0,3.0,2.0
1983,203.0,34.0,3.0,26.0,2.0,56.0,48.0,,,16.0,7.0,11.0
1984,140.0,7.0,,13.0,1.0,53.0,46.0,,,6.0,7.0,7.0
1985,157.0,4.0,2.0,17.0,8.0,49.0,57.0,,,6.0,2.0,12.0
1986,145.0,4.0,,21.0,2.0,53.0,49.0,,,9.0,2.0,5.0
1987,186.0,19.0,1.0,15.0,5.0,57.0,66.0,,,14.0,2.0,7.0
1988,200.0,22.0,3.0,15.0,6.0,60.0,75.0,,,15.0,4.0,
1989,178.0,17.0,3.0,19.0,5.0,72.0,44.0,,,15.0,1.0,2.0
1990,308.0,45.0,2.0,41.0,13.0,135.0,61.0,,,5.0,2.0,4.0
1991,226.0,16.0,3.0,29.0,9.0,66.0,76.0,,,9.0,10.0,8.0
1992,210.0,18.0,4.0,25.0,8.0,76.0,58.0,,,8.0,5.0,8.0
1993,258.0,9.0,2.0,20.0,3.0,107.0,84.0,,,25.0,6.0,2.0
1994,248.0,16.0,,25.0,9.0,80.0,88.0,,,11.0,6.0,13.0
1995,251.0,8.0,,26.0,13.0,80.0,96.0,,,16.0,5.0,7.0
1996,233.0,13.0,,13.0,5.0,76.0,93.0,,,24.0,5.0,4.0
1997,269.0,24.0,,23.0,13.0,80.0,97.0,,,13.0,4.0,15.0
1998,296.0,27.0,,30.0,12.0,88.0,95.0,,,22.0,4.0,18.0
1999,368.0,55.0,,33.0,8.0,106.0,122.0,,,18.0,5.0,21.0
