Year,Wind,Rip Current,Winter,Cold,Heat,Hurricane,Tornado,Flood,Lightning
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83
1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32
1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.27
1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69
1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02
1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42
1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18
1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16
1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46
1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45
1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11
1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13
1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09
1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95
1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77
1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28
1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62
1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69
1924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38
1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55
1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29
1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77
1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32
1930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06
1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73
1932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99
1933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11
1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68
1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85
1936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19
1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57
1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05
1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98
1940,0.0,0.0,0.0,0.0,0.0,0.386005569,0.491967883,0.454124199,2.58
1941,0.0,0.0,0.0,0.0,0.0,0.07496113,0.39729399,0.352317312,2.91
1942,0.0,0.0,0.0,0.0,0.0,0.059320974,2.847406739,0.504228277,2.75
1943,0.0,0.0,0.0,0.0,0.0,0.117010938,0.424164651,0.78251065,3.15
1944,0.0,0.0,0.0,0.0,0.0,0.462436617,1.987032338,0.238443881,3.01
1945,0.0,0.0,0.0,0.0,0.0,0.050025669,1.500770056,0.650333691,1.9
1946,0.0,0.0,0.0,0.0,0.0,0.0,0.551671201,0.198035816,1.62
1947,0.0,0.0,0.0,0.0,0.0,0.367733607,2.171709794,0.381610347,2.33
1948,0.0,0.0,0.0,0.0,0.0,0.020459479,0.954775673,0.559225751,1.74
1949,0.0,0.0,0.0,0.0,0.0,0.026811785,1.421024582,0.321741415,1.67
1950,0.0,0.0,0.0,0.0,0.0,0.124777193,0.459705448,0.610751524,1.45
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.219527786,0.329291678,1.62
1952,0.0,0.0,0.0,0.0,0.0,0.019041243,1.459828626,0.342742373,1.36
1953,0.0,0.0,0.0,0.0,0.0,0.012485627,3.215048836,0.249712531,0.91
1954,0.0,0.0,0.0,0.0,0.0,1.183861303,0.22082387,0.337369801,1.36
1955,0.0,0.0,0.0,0.0,0.0,1.31379751,0.759350854,1.820031413,1.1
1956,0.0,0.0,0.0,0.0,0.0,0.124331694,0.49140622,0.248663388,0.89
1957,0.0,0.0,0.0,0.0,0.0,2.296723541,1.110567586,0.476788178,1.06
1958,0.0,0.0,0.0,0.0,0.0,0.011436289,0.377397538,0.268752792,0.6
1959,0.0,0.0,0.0,0.0,0.0,0.134960638,0.326154874,0.140583998,1.04
1960,0.0,0.0,0.0,0.0,0.0,0.359769969,0.260141362,0.935401918,0.72
1961,0.0,0.0,0.0,0.0,0.0,0.250420543,0.277640167,0.506285011,0.82
1962,0.0,0.0,0.0,0.0,0.0,0.021443352,0.150103464,0.284124414,0.84
1963,0.0,0.0,0.0,0.0,0.0,0.058126632,0.163811416,0.216653808,0.89
1964,0.0,0.0,0.0,0.0,0.0,0.255355961,0.380428268,0.740011152,0.69
1965,0.0,0.0,0.0,0.0,0.0,0.38599507,1.523393875,0.967560974,0.78
1966,0.0,0.0,0.0,0.0,0.0,0.274725275,0.498575499,0.284900285,0.57
1967,0.0,0.0,0.0,0.0,0.0,0.090583357,0.573694593,0.266717662,0.45
1968,0.0,0.0,0.0,0.0,0.0,0.044841709,0.652695983,0.283997489,0.65
1969,0.0,0.0,0.0,0.0,0.0,1.263093494,0.325641291,2.195611737,0.66
1970,0.0,0.0,0.0,0.0,0.0,0.053644929,0.351130445,0.638862337,0.6
1971,0.0,0.0,0.0,0.0,0.0,0.038524326,0.751224351,0.327456768,0.6
1972,0.0,0.0,0.0,0.0,0.0,0.576475969,0.128635134,2.644166635,0.45
1973,0.0,0.0,0.0,0.0,0.0,0.023595034,0.410553587,0.8399832,0.59
1974,0.0,0.0,0.0,0.0,0.0,0.004676087,1.68806756,0.519045704,0.53
1975,0.0,0.0,0.0,0.0,0.0,0.018520834,0.277812504,0.588036468,0.58
1976,0.0,0.0,0.0,0.0,0.0,0.041277777,0.201802463,0.885178985,0.38
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.195242441,0.953509596,0.53
1978,0.0,0.0,0.0,0.0,0.0,0.161735966,0.238111283,0.561583215,0.44
1979,0.0,0.0,0.0,0.0,0.0,0.097753882,0.368798738,0.537646353,0.39
1980,0.0,0.0,0.0,0.0,0.0,0.017603697,0.123225877,0.360875784,0.42
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.104590658,0.366067304,0.38
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.276262173,0.66907245,0.44
1983,0.0,0.0,0.0,0.0,0.0,0.094100739,0.145428415,0.87257049,0.4
1984,0.0,0.0,0.0,0.0,0.0,0.01696173,0.517332768,0.534294498,0.39
1985,0.0,0.0,0.0,0.0,0.0,0.126090684,0.390881122,0.697701787,0.36
1986,0.0,0.0,0.287340765,0.0,0.166574357,0.045807948,0.062465384,0.391449738,0.33
1987,0.0,0.0,0.123819076,0.0,0.156837496,0.0,0.243510849,0.288911176,0.41
1988,0.0,0.0,0.224949795,0.069529937,0.167689847,0.036809967,0.130879881,0.126789885,0.34
1989,0.0,0.0,0.255247773,0.490237786,0.024309312,0.153958974,0.202577597,0.344381915,0.31
1990,0.0,0.0,0.192289973,0.052078534,0.128193316,0.0,0.212320179,0.568857838,0.36
1991,0.0,0.0,0.177878971,0.051387258,0.142303177,0.075104454,0.154161775,0.241124828,0.3
1992,0.0,0.0,0.230006939,0.054577918,0.031187382,0.105257413,0.152038485,0.241702207,0.159835331
1993,0.0,0.0,0.253925261,0.069252344,0.076947049,0.007694705,0.126962631,0.396277302,0.165436155
1994,0.0,0.0,0.110213358,0.197623952,0.110213358,0.034204146,0.262231782,0.345841916,0.262231782
1995,0.315459783,0.0,0.063843051,0.082620419,3.834338548,0.063843051,0.112664208,0.300437888,0.319215256
1996,0.200449899,0.0,0.319235024,0.23014618,0.133633266,0.137345301,0.092800879,0.486276606,0.193025828
1997,0.275070877,0.0,0.330085052,0.187048196,0.297076547,0.003667612,0.245729983,0.432778179,0.154039691
1998,0.235631892,0.0,0.24650721,0.039876166,0.627143344,0.032625954,0.471263784,0.493014421,0.159504666
1999,0.222190367,0.0,0.146932339,0.025086009,1.799025229,0.068090596,0.336869266,0.243692661,0.164850917
2000,0.180746967,0.0,0.145306385,0.092145513,0.559961192,0.0,0.145306385,0.134674211,0.180746967
2001,0.10878378,0.0,0.063164775,0.014036617,0.582519594,0.0842197,0.140366167,0.168439401,0.154402784
2002,0.156453611,0.149500117,0.059104697,0.038244216,0.580616733,0.177314092,0.19122108,0.170360598,0.177314092
2003,0.148220697,0.141326711,0.096515803,0.068939859,0.124091746,0.048257901,0.186137619,0.296441394,0.148220697
2004,0.143440028,0.10928764,0.095626685,0.092211446,0.020491433,0.116118118,0.119533356,0.280049578,0.10928764
2005,0.077829807,0.118436664,0.115052759,0.081213712,0.534656938,3.438047147,0.128588378,0.145507901,0.128588378
2006,0.134057282,0.077082937,0.056974345,0.006702864,0.847912309,0.0,0.224545947,0.254708836,0.160868738
2007,0.112870112,0.189223423,0.053115347,0.156026331,0.348569463,0.003319709,0.268896443,0.288814698,0.149386913
2008,0.230192006,0.223615091,0.069057602,0.144692118,0.233480463,0.039461487,0.414345611,0.269653493,0.088788345
2009,0.153208481,0.17928652,0.091273138,0.107571912,0.146688971,0.00651951,0.068454853,0.182546275,0.110831667
2010,0.106676369,0.206887503,0.067884962,0.109908986,0.446101178,0.0,0.145467775,0.332959575,0.0937459
2011,0.24380944,0.131528777,0.054536322,0.09303255,0.660851903,0.028872171,1.774034479,0.362506141,0.083408493
2012,0.331101979,0.133714261,0.08914284,0.025469383,0.493469295,0.012734691,0.222857101,0.092326513,0.08914284
2013,0.113770175,0.202258088,0.13273187,0.075846783,0.290746002,0.003160283,0.173815545,0.259143176,0.0726865
2014,0.169328149,0.178735269,0.128563965,0.134835378,0.062714129,0.0,0.147378204,0.119156846,0.081528368
2015,0.202228357,0.174227508,0.087113754,0.164893891,0.140004247,0.043556877,0.112003398,0.547572168,0.084002548
