Year,Palmer Drought Severity Index (9-year avg) (NOAA),Palmer Drought Severity Index (annual) (NOAA)
1895,1.3806002910000001,1.7281935320000001
1896,1.018043465,0.926926828
1897,0.5430404870000001,0.743537919
1898,-0.020770118000000004,-0.07706274399999999
1899,-0.650841934,-0.37233655800000004
1900,-1.218493096,-1.48943109
1901,-1.443051321,-2.223970517
1902,-1.071092751,-2.721902474
1903,-0.031007899000000005,1.255412727
1904,1.6368264360000002,-0.828369602
1905,3.6773087579999997,3.8652568709999997
1906,5.345737472,7.604781224
1907,5.705619897,8.491841325
1908,4.45183195,4.881802351
1909,2.3296384000000003,3.36566958
1910,0.664702133,-3.5662651910000003
1911,0.279497615,-1.6031533960000002
1912,0.879953205,3.575298171
1913,1.732581298,0.9313256249999999
1914,2.4568211,1.3124717160000001
1915,2.741531083,4.904369643000001
1916,2.207559504,4.683602935
1917,1.198459015,-0.10552169200000006
1918,0.751225285,-3.739319666
1919,1.193680058,2.53871678
1920,1.7000060590000001,5.163647606
1921,1.57850707,0.16546561599999998
1922,0.98073936,0.21295758599999998
1923,0.25454707,2.354275899
1924,-0.335411747,-1.623491509
1925,-0.368960791,-2.570453971
1926,0.290102969,-0.07442897799999998
1927,0.991321736,3.441861831
1928,0.877272061,1.9838964140000002
1929,-0.14273868500000003,0.5292136149999999
1930,-1.329801066,-2.6946609759999998
1931,-2.092441143,-4.736466516999999
1932,-2.738670554,0.94204755
1933,-3.756762241,-1.904808226
1934,-4.708394821000001,-10.345085337
1935,-4.726292685000001,-4.001629123
1936,-3.79059657,-4.223273665
1937,-2.73164927,-2.343512128
1938,-2.112636805,0.77619808
1939,-1.4749399509999999,-4.045314145
1940,-0.03138396099999996,-4.847866157
1941,1.86652103,6.542697505
1942,2.907005775,6.613835127
1943,2.6613580150000002,0.900716824
1944,2.017100455,0.307585689
1945,1.7161844240000002,2.668263267
1946,1.647655062,1.7618789550000002
1947,1.5024833110000002,1.4842205009999998
1948,1.217448873,1.0963619039999999
1949,0.8286974359999999,1.672246162
1950,0.3152966709999999,-0.578991899
1951,-0.49684252500000003,0.4150731059999999
1952,-1.846844982,0.06433054000000005
1953,-3.575329718,-4.3415682129999995
1954,-4.868555874,-7.046982487
1955,-4.7901322319999995,-6.564002968
1956,-3.211009109,-5.846736821
1957,-1.1933462879999999,1.557511371
1958,-0.10421804700000004,4.356152124
1959,-0.215696601,-2.570706737
1960,-0.7315059690000001,-1.8060979259999999
1961,-1.112569154,-0.11161918000000004
1962,-1.428816034,-0.140196307
1963,-1.583196309,-4.09740585
1964,-1.290755554,-2.5092923110000003
1965,-0.663409565,2.362873557
1966,0.0068372379999999955,-2.12033436
1967,0.69326965,0.838546725
1968,1.341899964,1.636381702
1969,1.68283728,3.415298225
1970,1.730420939,0.9327491259999999
1971,1.95776258,0.801052953
1972,2.609867242,1.2146231260000002
1973,3.182628232,6.838166900999999
1974,2.910850229,2.458144415
1975,1.6870311649999998,4.168889023
1976,0.37868082699999994,-1.948814543
1977,0.052079499999999945,-4.0389880300000005
1978,0.723107517,2.240507072
1979,1.401705684,4.716167462
1980,1.7101526329999999,0.87330875
1981,2.466894124,-2.544645001
1982,4.06776472,5.020044757
1983,5.461502724000001,9.934240049
1984,5.477848380999999,6.553547627
1985,4.1461754719999995,3.09738773
1986,2.180663298,3.426383317
1987,0.16321216499999996,0.036218623000000005
1988,-1.382228703,-3.496188927
1989,-1.924905989,-3.091397455
1990,-1.287662837,-2.4478123820000004
1991,0.182409002,0.20826871699999994
1992,1.79407845,1.5739090089999999
1993,2.905931751,6.540580997999999
1994,3.377652877,0.9434584410000002
1995,3.548545631,4.864969308999999
1996,3.625878646,2.6043936069999996
1997,3.2441068189999998,4.893362404
1998,1.831151816,4.568517495
1999,-0.535179032,-0.29798139199999996
2000,-2.86779722,-6.399227452
2001,-4.0640511880000005,-4.497134901
2002,-3.759373384,-5.993481786
2003,-2.452391574,-2.473996567
2004,-1.180242738,0.2560395329999998
2005,-0.839386914,2.519616307
2006,-1.361349195,-2.804840564
2007,-1.7763463490000002,-4.0346600079999995
2008,-1.363422412,-1.613013381
2009,-0.54510507,-0.9318513130000001
2010,-0.4385877719999999,3.911413283
2011,-1.4712211880000001,-0.24170058
2012,-2.7236044049999997,-7.4639690850000004
2013,-3.03324126,-3.658743513
2014,-2.357032083,-1.850914388
2015,-1.508528525,-0.4877225220000001
2016,-0.9793759719999999,-1.064398301
2017,-0.5555338809999999,-0.18466754900000001
2018,0.0367280940000001,-3.340291823
2019,0.530800369,5.5060792990000005
2020,0.4984254330000002,-0.5194700649999999
