Entity,Code,Year,Heat Wave Index (NOAA)
United States,USA,1895,0.025
United States,USA,1896,0.088
United States,USA,1897,0.159
United States,USA,1898,0.06
United States,USA,1899,0.05
United States,USA,1900,0.123
United States,USA,1901,0.318
United States,USA,1902,0.063
United States,USA,1903,0.01
United States,USA,1904,0.006
United States,USA,1905,0.045
United States,USA,1906,0.035
United States,USA,1907,0.022
United States,USA,1908,0.036
United States,USA,1909,0.047
United States,USA,1910,0.066
United States,USA,1911,0.195
United States,USA,1912,0.035
United States,USA,1913,0.09
United States,USA,1914,0.104
United States,USA,1915,0.035
United States,USA,1916,0.134
United States,USA,1917,0.173
United States,USA,1918,0.233
United States,USA,1919,0.03
United States,USA,1920,0.008
United States,USA,1921,0.116
United States,USA,1922,0.019
United States,USA,1923,0.025
United States,USA,1924,0.04
United States,USA,1925,0.157
United States,USA,1926,0.056
United States,USA,1927,0.007
United States,USA,1928,0.056
United States,USA,1929,0.022
United States,USA,1930,0.531
United States,USA,1931,0.562
United States,USA,1932,0.121
United States,USA,1933,0.221
United States,USA,1934,0.869
United States,USA,1935,0.168
United States,USA,1936,1.281
United States,USA,1937,0.067
United States,USA,1938,0.041
United States,USA,1939,0.088
United States,USA,1940,0.222
United States,USA,1941,0.181
United States,USA,1942,0.078
United States,USA,1943,0.072
United States,USA,1944,0.067
United States,USA,1945,0.005
United States,USA,1946,0.013
United States,USA,1947,0.149
United States,USA,1948,0.091
United States,USA,1949,0.071
United States,USA,1950,0.015
United States,USA,1951,0.061
United States,USA,1952,0.192
United States,USA,1953,0.075
United States,USA,1954,0.291
United States,USA,1955,0.135
United States,USA,1956,0.029
United States,USA,1957,0.005
United States,USA,1958,0.024
United States,USA,1959,0.017
United States,USA,1960,0.035
United States,USA,1961,0.038
United States,USA,1962,0.028
United States,USA,1963,0.027
United States,USA,1964,0.042
United States,USA,1965,0.007
United States,USA,1966,0.043
United States,USA,1967,0.001
United States,USA,1968,0.017
United States,USA,1969,0.027
United States,USA,1970,0.019
United States,USA,1971,0.04
United States,USA,1972,0.029
United States,USA,1973,0.022
United States,USA,1974,0.015
United States,USA,1975,0.058
United States,USA,1976,0.049
United States,USA,1977,0.087
United States,USA,1978,0.031
United States,USA,1979,0.021
United States,USA,1980,0.259
United States,USA,1981,0.072
United States,USA,1982,0.009
United States,USA,1983,0.144
United States,USA,1984,0.013
United States,USA,1985,0.028
United States,USA,1986,0.081
United States,USA,1987,0.052
United States,USA,1988,0.315
United States,USA,1989,0.039
United States,USA,1990,0.073
United States,USA,1991,0.039
United States,USA,1992,0.032
United States,USA,1993,0.043
United States,USA,1994,0.081
United States,USA,1995,0.09
United States,USA,1996,0.016
United States,USA,1997,0.013
United States,USA,1998,0.135
United States,USA,1999,0.095
United States,USA,2000,0.09
United States,USA,2001,0.104
United States,USA,2002,0.11
United States,USA,2003,0.12
United States,USA,2004,0.011
United States,USA,2005,0.052
United States,USA,2006,0.214
United States,USA,2007,0.171
United States,USA,2008,0.032
United States,USA,2009,0.068
United States,USA,2010,0.154
United States,USA,2011,0.301
United States,USA,2012,0.262
United States,USA,2013,0.089
United States,USA,2014,0.032
United States,USA,2015,0.107
United States,USA,2016,0.069
United States,USA,2017,0.086
United States,USA,2018,0.115
United States,USA,2019,0.058
United States,USA,2020,0.129
